Txn Hash,Timestamp,From,To,TokenID,Token_Name,Contract_Address,Value
0x44a2757faebd23d3d4f7f93ca16dd8e929f7fc9bb1e64814948b1a054e7bf77a,"(May 15, 2022 22:46:09 / UTC+9)",0xa5116610b96a189e3c310ecb717523cdf3c497b4,0x2a58ecd7f941313b3723da9392815ee6acfdb5aa,1137,Robot Taekwon V,0x41cff281b578f4cf45515d6e4efd535e47e76efd,"1,100.00"
0xf44aa0e68a51fe21c66995332025a1ca18f3cef124428982c26af311fe68f5b3,"(May 15, 2022 22:45:44 / UTC+9)",0xa5116610b96a189e3c310ecb717523cdf3c497b4,0x2a58ecd7f941313b3723da9392815ee6acfdb5aa,1133,Robot Taekwon V,0x41cff281b578f4cf45515d6e4efd535e47e76efd,95
0x126177094906465dbb2fe4ba2e538452d7862f84c34f3a5edf8cebab41e466b8,"(May 15, 2022 22:45:08 / UTC+9)",0x706d22ab2208cc26610f3a4660dffb8b38dc6741,0xfae49d91435985693ab9cd4b4a29ba62b210ca06,1128,SE7EN_MOOD_PET,0x41cff281b578f4cf45515d6e4efd535e47e76efd,9
0xab56ea5525919775c1853bd3a3af04062f31e0b79b02dab6bff7814820e3cc06,"(May 15, 2022 22:44:59 / UTC+9)",0xa5116610b96a189e3c310ecb717523cdf3c497b4,0x2a58ecd7f941313b3723da9392815ee6acfdb5aa,1141,Robot Taekwon V,0x41cff281b578f4cf45515d6e4efd535e47e76efd,95
0x4bd57825a4dd06db273a9c49710b6276ae1d6a4f447bb51fc5035df59f994b65,"(May 15, 2022 22:44:40 / UTC+9)",0xe3d6c6b81fcf4b8b49e921252839c7988c9fb294,0x53f7a96ec7c9e6f1f2af640a6b305cbb456d2e09,4696,Klay 3 Kingdoms Drop,0x41cff281b578f4cf45515d6e4efd535e47e76efd,47
0xafaf7722714304347911c17aeff8256fc5fb6d9765a8c557d0d935c9ea5b552b,"(May 15, 2022 22:44:38 / UTC+9)",0x706d22ab2208cc26610f3a4660dffb8b38dc6741,0xfae49d91435985693ab9cd4b4a29ba62b210ca06,907,SE7EN_MOOD_PET,0x41cff281b578f4cf45515d6e4efd535e47e76efd,9
0x0f8bafe65d33138f9cf80831d107a08fef5f132cb15ee66e44bd0236f6adfe7f,"(May 15, 2022 22:44:32 / UTC+9)",0x9c2844663e825baefd22141512275db8c2a04d59,0x67852a38b531ba5dee37d36d33169f97a5608b32,19280,G RILLA,0x41cff281b578f4cf45515d6e4efd535e47e76efd,"1,100.00"
0x3b115cf3964a59082e7631397d2275ed65cbc0f85cabe4d4d9fa67bdd8e59790,"(May 15, 2022 22:44:14 / UTC+9)",0x706d22ab2208cc26610f3a4660dffb8b38dc6741,0xfae49d91435985693ab9cd4b4a29ba62b210ca06,842,SE7EN_MOOD_PET,0x41cff281b578f4cf45515d6e4efd535e47e76efd,9
0xfb234ebbd895179c0f4dc95ec4dfde0d3aff96e7fcb631f68c1ee870a82accf2,"(May 15, 2022 22:43:59 / UTC+9)",0xd1fda166860816ab462f2f1acfa6383d0531ed6b,0xecbc34082f83cfee873761c709db904f2203c20a,897,DOGESOUNDCLUB MATES,0x41cff281b578f4cf45515d6e4efd535e47e76efd,385
0x2e3faf8c856fcac64b9d28538e5fbfdd5bf451d9f00de1626d4765888913dd0b,"(May 15, 2022 22:43:39 / UTC+9)",0x706d22ab2208cc26610f3a4660dffb8b38dc6741,0xfae49d91435985693ab9cd4b4a29ba62b210ca06,711,SE7EN_MOOD_PET,0x41cff281b578f4cf45515d6e4efd535e47e76efd,9
0x0d97bcb6bde903e7f51a1c87194a0511acdb1a9cd060b471164381cc8e47fed7,"(May 15, 2022 22:43:04 / UTC+9)",0x706d22ab2208cc26610f3a4660dffb8b38dc6741,0xfae49d91435985693ab9cd4b4a29ba62b210ca06,825,SE7EN_MOOD_PET,0x41cff281b578f4cf45515d6e4efd535e47e76efd,9
0x9e0fcbde60857e4e66eab7f360eb8da4dbee125ca8958326061aa9ad3ca3d9f6,"(May 15, 2022 22:42:33 / UTC+9)",0x706d22ab2208cc26610f3a4660dffb8b38dc6741,0xfae49d91435985693ab9cd4b4a29ba62b210ca06,693,SE7EN_MOOD_PET,0x41cff281b578f4cf45515d6e4efd535e47e76efd,9
0x5740fc84f439431c002f6953a8b132c82e4ed2f3c1893d2b24768fd4424f95e5,"(May 15, 2022 22:42:32 / UTC+9)",0xb6e45d39282486c0a7545b7dabeda7892d2a2c75,0xbd9989a10e0e76fcd3d315c2c4e0887641991592,279017,SheepFarm,0x41cff281b578f4cf45515d6e4efd535e47e76efd,450
0xe2b6accbe27552c95a0288047637238e37ae46f675b806a78e570675ef181b85,"(May 15, 2022 22:42:29 / UTC+9)",0x5d7e3eac0a4526f9243c9f748ae1ffe08ae900fd,0xbc94b146d82724d041d2b4392c483e156e91f830,3234044380,0xe3e042618bf73748a4f8f45dbe239092a6f7261e,0x41cff281b578f4cf45515d6e4efd535e47e76efd,9
0xe5cb4b15ebdc41ec1377be6bc212105cd20501e7ded34dd8dbcb64efebd19b66,"(May 15, 2022 22:42:23 / UTC+9)",0xafc555464d4967d76db1d1cd76d35ec1cb5d0f45,0xee8df3519d14778476be9f3bf4a695e20e653afc,404,LMC Koonta,0x41cff281b578f4cf45515d6e4efd535e47e76efd,219
0xe1b68138a4ca18604c948936cc8125d1c3284c6c2b6a61b9d3248975b2bef43a,"(May 15, 2022 22:42:07 / UTC+9)",0xe3d6c6b81fcf4b8b49e921252839c7988c9fb294,0x53f7a96ec7c9e6f1f2af640a6b305cbb456d2e09,2745,Klay 3 Kingdoms Drop,0x41cff281b578f4cf45515d6e4efd535e47e76efd,19
0xe81ce634796b1c0ce8b16935f5a70fb3ee96f5f4829a298fc16cdfca11e74ba7,"(May 15, 2022 22:40:23 / UTC+9)",0x5c1a2eb39f821b835aa340b19fb4c2e5971d833b,0xc3c472e299d61d34a3fcbc3ee3de4006fc29133d,486,Klay 3 Kingoms Land,0x41cff281b578f4cf45515d6e4efd535e47e76efd,720
0x48688254c767858402cc4436ecf66ba0d204e5a42a8ad4d7da6aa362299a8f29,"(May 15, 2022 22:40:16 / UTC+9)",0x7fd96c37dbc2ab6bafad5f93bf3669a70588d126,0x42c643f93fba9aa426aab1e2d0f68903b45113fd,4135,Oi Sunnies,0x41cff281b578f4cf45515d6e4efd535e47e76efd,19
0x0b28da48194df73cd47f762b7f9af8ca5a313c5a7859498cfcc5de274b296601,"(May 15, 2022 22:40:10 / UTC+9)",0x9b037d59fd33cd0e85d088cac705d2947eb4acb3,0x34c885f85cace90c505c4bd982fd962aefd7f546,4343,THE VOGONYANGS,0x41cff281b578f4cf45515d6e4efd535e47e76efd,300
0x22daf9be9c3c7228ecc1064ebe77033424ed70567d0c35d800b50b5cfd9e4c9c,"(May 15, 2022 22:39:31 / UTC+9)",0xe3d6c6b81fcf4b8b49e921252839c7988c9fb294,0x866733dd485fe52e7056c7513a88db8e47da033e,2410,Klay 3 Kingdoms Drop,0x41cff281b578f4cf45515d6e4efd535e47e76efd,13
0x77735aad67c35bb4489cc3a9ea48fe34ea47f65fe846f70d44beff7413454c47,"(May 15, 2022 22:39:10 / UTC+9)",0x4ebead76d1f0e9c86117cc40a47898b978ba9c11,0x239916ca0b9e40022ede28345ab7c33e5f7bc144,17889,Cat Town Punks,0x41cff281b578f4cf45515d6e4efd535e47e76efd,10
0xef5e0cbdd88339ecefc750b0edf21334b254472dd4a8862224d1128cb5a56a53,"(May 15, 2022 22:39:04 / UTC+9)",0xd1fda166860816ab462f2f1acfa6383d0531ed6b,0xce8d15f5f75e7d6ecc5a49752a3dc140acafd4df,3537,Clones Never Die Mu,0x41cff281b578f4cf45515d6e4efd535e47e76efd,30
0xc9f443e61fcf10eb24e7a3a5722533bd9572cd332a656cf0234b572ddb04685a,"(May 15, 2022 22:39:00 / UTC+9)",0x8e6cb9ed2f4845e46ad25f8f2a10c098146c90d5,0x064efe12eb5754110a190031e3df2a6f1068a187,2020,KiriCON-V0,0x41cff281b578f4cf45515d6e4efd535e47e76efd,15.9
0xd6eb425486965db9b01a3c63b15e95a1c53e38e11c7b12da2949397907a727a9,"(May 15, 2022 22:38:23 / UTC+9)",0xf368cc371c123af3c07d6b157ce351d223a54b41,0xa47434b0a5993b83f6af95986ad907536258c5ac,369,CAZI,0x41cff281b578f4cf45515d6e4efd535e47e76efd,220
0x7be8319117fa67f02b3b4f3ea7cbe05fde583e10d80f266b49840ab06eb6c284,"(May 15, 2022 22:38:06 / UTC+9)",0x4ebead76d1f0e9c86117cc40a47898b978ba9c11,0x239916ca0b9e40022ede28345ab7c33e5f7bc144,1981,Cat Town Punks,0x41cff281b578f4cf45515d6e4efd535e47e76efd,10
0x44a2757faebd23d3d4f7f93ca16dd8e929f7fc9bb1e64814948b1a054e7bf77a,"(May 15, 2022 22:46:09 / UTC+9)",0xa5116610b96a189e3c310ecb717523cdf3c497b4,0x2a58ecd7f941313b3723da9392815ee6acfdb5aa,1137,Robot Taekwon V,0x41cff281b578f4cf45515d6e4efd535e47e76efd,95
0xf44aa0e68a51fe21c66995332025a1ca18f3cef124428982c26af311fe68f5b3,"(May 15, 2022 22:45:44 / UTC+9)",0xa5116610b96a189e3c310ecb717523cdf3c497b4,0x2a58ecd7f941313b3723da9392815ee6acfdb5aa,1133,Robot Taekwon V,0x41cff281b578f4cf45515d6e4efd535e47e76efd,95
0x126177094906465dbb2fe4ba2e538452d7862f84c34f3a5edf8cebab41e466b8,"(May 15, 2022 22:45:08 / UTC+9)",0x706d22ab2208cc26610f3a4660dffb8b38dc6741,0xfae49d91435985693ab9cd4b4a29ba62b210ca06,1128,SE7EN_MOOD_PET,0x41cff281b578f4cf45515d6e4efd535e47e76efd,9
0xab56ea5525919775c1853bd3a3af04062f31e0b79b02dab6bff7814820e3cc06,"(May 15, 2022 22:44:59 / UTC+9)",0xa5116610b96a189e3c310ecb717523cdf3c497b4,0x2a58ecd7f941313b3723da9392815ee6acfdb5aa,1141,Robot Taekwon V,0x41cff281b578f4cf45515d6e4efd535e47e76efd,95
0x4bd57825a4dd06db273a9c49710b6276ae1d6a4f447bb51fc5035df59f994b65,"(May 15, 2022 22:44:40 / UTC+9)",0xe3d6c6b81fcf4b8b49e921252839c7988c9fb294,0x53f7a96ec7c9e6f1f2af640a6b305cbb456d2e09,4696,Klay 3 Kingdoms Drop,0x41cff281b578f4cf45515d6e4efd535e47e76efd,47
0xafaf7722714304347911c17aeff8256fc5fb6d9765a8c557d0d935c9ea5b552b,"(May 15, 2022 22:44:38 / UTC+9)",0x706d22ab2208cc26610f3a4660dffb8b38dc6741,0xfae49d91435985693ab9cd4b4a29ba62b210ca06,907,SE7EN_MOOD_PET,0x41cff281b578f4cf45515d6e4efd535e47e76efd,9
0x0f8bafe65d33138f9cf80831d107a08fef5f132cb15ee66e44bd0236f6adfe7f,"(May 15, 2022 22:44:32 / UTC+9)",0x9c2844663e825baefd22141512275db8c2a04d59,0x67852a38b531ba5dee37d36d33169f97a5608b32,19280,G RILLA,0x41cff281b578f4cf45515d6e4efd535e47e76efd,"1,100.00"
0x3b115cf3964a59082e7631397d2275ed65cbc0f85cabe4d4d9fa67bdd8e59790,"(May 15, 2022 22:44:14 / UTC+9)",0x706d22ab2208cc26610f3a4660dffb8b38dc6741,0xfae49d91435985693ab9cd4b4a29ba62b210ca06,842,SE7EN_MOOD_PET,0x41cff281b578f4cf45515d6e4efd535e47e76efd,9
0xfb234ebbd895179c0f4dc95ec4dfde0d3aff96e7fcb631f68c1ee870a82accf2,"(May 15, 2022 22:43:59 / UTC+9)",0xd1fda166860816ab462f2f1acfa6383d0531ed6b,0xecbc34082f83cfee873761c709db904f2203c20a,897,DOGESOUNDCLUB MATES,0x41cff281b578f4cf45515d6e4efd535e47e76efd,385
0x2e3faf8c856fcac64b9d28538e5fbfdd5bf451d9f00de1626d4765888913dd0b,"(May 15, 2022 22:43:39 / UTC+9)",0x706d22ab2208cc26610f3a4660dffb8b38dc6741,0xfae49d91435985693ab9cd4b4a29ba62b210ca06,711,SE7EN_MOOD_PET,0x41cff281b578f4cf45515d6e4efd535e47e76efd,9
0x0d97bcb6bde903e7f51a1c87194a0511acdb1a9cd060b471164381cc8e47fed7,"(May 15, 2022 22:43:04 / UTC+9)",0x706d22ab2208cc26610f3a4660dffb8b38dc6741,0xfae49d91435985693ab9cd4b4a29ba62b210ca06,825,SE7EN_MOOD_PET,0x41cff281b578f4cf45515d6e4efd535e47e76efd,9
0x9e0fcbde60857e4e66eab7f360eb8da4dbee125ca8958326061aa9ad3ca3d9f6,"(May 15, 2022 22:42:33 / UTC+9)",0x706d22ab2208cc26610f3a4660dffb8b38dc6741,0xfae49d91435985693ab9cd4b4a29ba62b210ca06,693,SE7EN_MOOD_PET,0x41cff281b578f4cf45515d6e4efd535e47e76efd,9
0x5740fc84f439431c002f6953a8b132c82e4ed2f3c1893d2b24768fd4424f95e5,"(May 15, 2022 22:42:32 / UTC+9)",0xb6e45d39282486c0a7545b7dabeda7892d2a2c75,0xbd9989a10e0e76fcd3d315c2c4e0887641991592,279017,SheepFarm,0x41cff281b578f4cf45515d6e4efd535e47e76efd,450
0xe2b6accbe27552c95a0288047637238e37ae46f675b806a78e570675ef181b85,"(May 15, 2022 22:42:29 / UTC+9)",0x5d7e3eac0a4526f9243c9f748ae1ffe08ae900fd,0xbc94b146d82724d041d2b4392c483e156e91f830,3234044380,0xe3e042618bf73748a4f8f45dbe239092a6f7261e,0x41cff281b578f4cf45515d6e4efd535e47e76efd,9
0xe5cb4b15ebdc41ec1377be6bc212105cd20501e7ded34dd8dbcb64efebd19b66,"(May 15, 2022 22:42:23 / UTC+9)",0xafc555464d4967d76db1d1cd76d35ec1cb5d0f45,0xee8df3519d14778476be9f3bf4a695e20e653afc,404,LMC Koonta,0x41cff281b578f4cf45515d6e4efd535e47e76efd,219
0xe1b68138a4ca18604c948936cc8125d1c3284c6c2b6a61b9d3248975b2bef43a,"(May 15, 2022 22:42:07 / UTC+9)",0xe3d6c6b81fcf4b8b49e921252839c7988c9fb294,0x53f7a96ec7c9e6f1f2af640a6b305cbb456d2e09,2745,Klay 3 Kingdoms Drop,0x41cff281b578f4cf45515d6e4efd535e47e76efd,19
0xe81ce634796b1c0ce8b16935f5a70fb3ee96f5f4829a298fc16cdfca11e74ba7,"(May 15, 2022 22:40:23 / UTC+9)",0x5c1a2eb39f821b835aa340b19fb4c2e5971d833b,0xc3c472e299d61d34a3fcbc3ee3de4006fc29133d,486,Klay 3 Kingoms Land,0x41cff281b578f4cf45515d6e4efd535e47e76efd,720
0x48688254c767858402cc4436ecf66ba0d204e5a42a8ad4d7da6aa362299a8f29,"(May 15, 2022 22:40:16 / UTC+9)",0x7fd96c37dbc2ab6bafad5f93bf3669a70588d126,0x42c643f93fba9aa426aab1e2d0f68903b45113fd,4135,Oi Sunnies,0x41cff281b578f4cf45515d6e4efd535e47e76efd,19
0x0b28da48194df73cd47f762b7f9af8ca5a313c5a7859498cfcc5de274b296601,"(May 15, 2022 22:40:10 / UTC+9)",0x9b037d59fd33cd0e85d088cac705d2947eb4acb3,0x34c885f85cace90c505c4bd982fd962aefd7f546,4343,THE VOGONYANGS,0x41cff281b578f4cf45515d6e4efd535e47e76efd,300
0x22daf9be9c3c7228ecc1064ebe77033424ed70567d0c35d800b50b5cfd9e4c9c,"(May 15, 2022 22:39:31 / UTC+9)",0xe3d6c6b81fcf4b8b49e921252839c7988c9fb294,0x866733dd485fe52e7056c7513a88db8e47da033e,2410,Klay 3 Kingdoms Drop,0x41cff281b578f4cf45515d6e4efd535e47e76efd,13
0x77735aad67c35bb4489cc3a9ea48fe34ea47f65fe846f70d44beff7413454c47,"(May 15, 2022 22:39:10 / UTC+9)",0x4ebead76d1f0e9c86117cc40a47898b978ba9c11,0x239916ca0b9e40022ede28345ab7c33e5f7bc144,17889,Cat Town Punks,0x41cff281b578f4cf45515d6e4efd535e47e76efd,10
0xef5e0cbdd88339ecefc750b0edf21334b254472dd4a8862224d1128cb5a56a53,"(May 15, 2022 22:39:04 / UTC+9)",0xd1fda166860816ab462f2f1acfa6383d0531ed6b,0xce8d15f5f75e7d6ecc5a49752a3dc140acafd4df,3537,Clones Never Die Mu,0x41cff281b578f4cf45515d6e4efd535e47e76efd,30
0xc9f443e61fcf10eb24e7a3a5722533bd9572cd332a656cf0234b572ddb04685a,"(May 15, 2022 22:39:00 / UTC+9)",0x8e6cb9ed2f4845e46ad25f8f2a10c098146c90d5,0x064efe12eb5754110a190031e3df2a6f1068a187,2020,KiriCON-V0,0x41cff281b578f4cf45515d6e4efd535e47e76efd,15.9
0xd6eb425486965db9b01a3c63b15e95a1c53e38e11c7b12da2949397907a727a9,"(May 15, 2022 22:38:23 / UTC+9)",0xf368cc371c123af3c07d6b157ce351d223a54b41,0xa47434b0a5993b83f6af95986ad907536258c5ac,369,CAZI,0x41cff281b578f4cf45515d6e4efd535e47e76efd,220
0x7be8319117fa67f02b3b4f3ea7cbe05fde583e10d80f266b49840ab06eb6c284,"(May 15, 2022 22:38:06 / UTC+9)",0x4ebead76d1f0e9c86117cc40a47898b978ba9c11,0x239916ca0b9e40022ede28345ab7c33e5f7bc144,1981,Cat Town Punks,0x41cff281b578f4cf45515d6e4efd535e47e76efd,10
0xaa0bf698aded844921bafe891a231376aa44bf9758de0f8745cbee0ad43940e3,"(May 15, 2022 22:47:31 / UTC+9)",0xa5116610b96a189e3c310ecb717523cdf3c497b4,0x2a58ecd7f941313b3723da9392815ee6acfdb5aa,1135,Robot Taekwon V,0x41cff281b578f4cf45515d6e4efd535e47e76efd,95
0xe0f14ed5d604e373858bf19a5bd25a4130b2f6d0ea700d3c58e3ec2b9091f9d5,"(May 15, 2022 22:47:30 / UTC+9)",0x9b037d59fd33cd0e85d088cac705d2947eb4acb3,0x28b20c9e46c79d8ce93103978e22d349186b1b94,647,THE VOGONYANGS,0x41cff281b578f4cf45515d6e4efd535e47e76efd,295
0xb0e75c05d3d12a082998d241ede44f5c1b3cf46622df03a3c7fc899712eeb9fe,"(May 15, 2022 22:47:16 / UTC+9)",0xe9d956875dafde0140018ac1148998947e1819bb,0xec9e497e6bf942ec338574e04f7596a176e44bc8,513,Klay 3 Kingoms Land,0x41cff281b578f4cf45515d6e4efd535e47e76efd,700
0xfad25be983388f31d1861440e173bacc6daa8390e3e30528223aa18d3b50b744,"(May 15, 2022 22:46:57 / UTC+9)",0xa5116610b96a189e3c310ecb717523cdf3c497b4,0x2a58ecd7f941313b3723da9392815ee6acfdb5aa,1131,Robot Taekwon V,0x41cff281b578f4cf45515d6e4efd535e47e76efd,95
0x44a2757faebd23d3d4f7f93ca16dd8e929f7fc9bb1e64814948b1a054e7bf77a,"(May 15, 2022 22:46:09 / UTC+9)",0xa5116610b96a189e3c310ecb717523cdf3c497b4,0x2a58ecd7f941313b3723da9392815ee6acfdb5aa,1137,Robot Taekwon V,0x41cff281b578f4cf45515d6e4efd535e47e76efd,95
0xf44aa0e68a51fe21c66995332025a1ca18f3cef124428982c26af311fe68f5b3,"(May 15, 2022 22:45:44 / UTC+9)",0xa5116610b96a189e3c310ecb717523cdf3c497b4,0x2a58ecd7f941313b3723da9392815ee6acfdb5aa,1133,Robot Taekwon V,0x41cff281b578f4cf45515d6e4efd535e47e76efd,95
0x126177094906465dbb2fe4ba2e538452d7862f84c34f3a5edf8cebab41e466b8,"(May 15, 2022 22:45:08 / UTC+9)",0x706d22ab2208cc26610f3a4660dffb8b38dc6741,0xfae49d91435985693ab9cd4b4a29ba62b210ca06,1128,SE7EN_MOOD_PET,0x41cff281b578f4cf45515d6e4efd535e47e76efd,9
0xab56ea5525919775c1853bd3a3af04062f31e0b79b02dab6bff7814820e3cc06,"(May 15, 2022 22:44:59 / UTC+9)",0xa5116610b96a189e3c310ecb717523cdf3c497b4,0x2a58ecd7f941313b3723da9392815ee6acfdb5aa,1141,Robot Taekwon V,0x41cff281b578f4cf45515d6e4efd535e47e76efd,95
0x4bd57825a4dd06db273a9c49710b6276ae1d6a4f447bb51fc5035df59f994b65,"(May 15, 2022 22:44:40 / UTC+9)",0xe3d6c6b81fcf4b8b49e921252839c7988c9fb294,0x53f7a96ec7c9e6f1f2af640a6b305cbb456d2e09,4696,Klay 3 Kingdoms Drop,0x41cff281b578f4cf45515d6e4efd535e47e76efd,47
